Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (2010-)","World","Feed","Meat","2015","1000 t","89"
"Food Balances (2010-)","World","Losses","Meat","2015","1000 t","1492"
"Food Balances (2010-)","World","Processing","Meat","2015","1000 t","687"
"Food Balances (2010-)","World","Other uses (non-food)","Meat","2015","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Meat","2015","1000 t","710"
"Food Balances (2010-)","World","Residuals","Meat","2015","1000 t","506"
"Food Balances (2010-)","World","Food","Meat","2015","1000 t","311630"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Meat","2015","kg/cap","42.2"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Meat","2015","kcal/cap/d","200"
"Food Balances (2010-)","World","Food supply (kcal)","Meat","2015","Kcal","539139072.71"
"Food Balances (2010-)","World","Production","Meat","2016","1000 t","328102"
"Food Balances (2010-)","World","Import quantity","Meat","2016","1000 t","44820"
"Food Balances (2010-)","World","Stock Variation","Meat","2016","1000 t","4031"
"Food Balances (2010-)","World","Export quantity","Meat","2016","1000 t","48396"
"Food Balances (2010-)","World","Feed","Meat","2016","1000 t","90"
"Food Balances (2010-)","World","Losses","Meat","2016","1000 t","1507"
"Food Balances (2010-)","World","Processing","Meat","2016","1000 t","782"
"Food Balances (2010-)","World","Other uses (non-food)","Meat","2016","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Meat","2016","1000 t","838"
"Food Balances (2010-)","World","Residuals","Meat","2016","1000 t","413"
"Food Balances (2010-)","World","Food","Meat","2016","1000 t","316865"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Meat","2016","kg/cap","42.41"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Meat","2016","kcal/cap/d","201"
"Food Balances (2010-)","World","Food supply (kcal)","Meat","2016","Kcal","547344893.42"
"Food Balances (2010-)","World","Production","Meat","2017","1000 t","334347"
"Food Balances (2010-)","World","Import quantity","Meat","2017","1000 t","45881"
"Food Balances (2010-)","World","Stock Variation","Meat","2017","1000 t","5519"
"Food Balances (2010-)","World","Export quantity","Meat","2017","1000 t","50053"
"Food Balances (2010-)","World","Feed","Meat","2017","1000 t","107"
"Food Balances (2010-)","World","Losses","Meat","2017","1000 t","1571"
"Food Balances (2010-)","World","Processing","Meat","2017","1000 t","671"
"Food Balances (2010-)","World","Other uses (non-food)","Meat","2017","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Meat","2017","1000 t","894"
"Food Balances (2010-)","World","Residuals","Meat","2017","1000 t","234"
"Food Balances (2010-)","World","Food","Meat","2017","1000 t","321179"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Meat","2017","kg/cap","42.5"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Meat","2017","kcal/cap/d","201"
"Food Balances (2010-)","World","Food supply (kcal)","Meat","2017","Kcal","554263870.72"
"Food Balances (2010-)","World","Production","Meat","2018","1000 t","342314"
"Food Balances (2010-)","World","Import quantity","Meat","2018","1000 t","47839"
"Food Balances (2010-)","World","Stock Variation","Meat","2018","1000 t","6713"
"Food Balances (2010-)","World","Export quantity","Meat","2018","1000 t","51230"
"Food Balances (2010-)","World","Feed","Meat","2018","1000 t","108"
"Food Balances (2010-)","World","Losses","Meat","2018","1000 t","1671"
"Food Balances (2010-)","World","Processing","Meat","2018","1000 t","945"
"Food Balances (2010-)","World","Other uses (non-food)","Meat","2018","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Meat","2018","1000 t","888"
"Food Balances (2010-)","World","Residuals","Meat","2018","1000 t","-752"
"Food Balances (2010-)","World","Food","Meat","2018","1000 t","329350"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Meat","2018","kg/cap","43.1"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Meat","2018","kcal/cap/d","204"
"Food Balances (2010-)","World","Food supply (kcal)","Meat","2018","Kcal","568731658"
"Food Balances (2010-)","World","Production","Meat","2019","1000 t","335869"
"Food Balances (2010-)","World","Import quantity","Meat","2019","1000 t","49995"
"Food Balances (2010-)","World","Stock Variation","Meat","2019","1000 t","-4551"
"Food Balances (2010-)","World","Export quantity","Meat","2019","1000 t","52824"
"Food Balances (2010-)","World","Feed","Meat","2019","1000 t","45"
"Food Balances (2010-)","World","Losses","Meat","2019","1000 t","1737"
"Food Balances (2010-)","World","Processing","Meat","2019","1000 t","894"
"Food Balances (2010-)","World","Other uses (non-food)","Meat","2019","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Meat","2019","1000 t","891"
"Food Balances (2010-)","World","Residuals","Meat","2019","1000 t","-787"
"Food Balances (2010-)","World","Food","Meat","2019","1000 t","334810"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Meat","2019","kg/cap","43.27"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Meat","2019","kcal/cap/d","203"
"Food Balances (2010-)","World","Food supply (kcal)","Meat","2019","Kcal","574693262.32"
"Food Balances (2010-)","World","Production","Meat","2020","1000 t","341636"
"Food Balances (2010-)","World","Import quantity","Meat","2020","1000 t","51465"
"Food Balances (2010-)","World","Stock Variation","Meat","2020","1000 t","6133"
"Food Balances (2010-)","World","Export quantity","Meat","2020","1000 t","53634"
"Food Balances (2010-)","World","Feed","Meat","2020","1000 t","47"
"Food Balances (2010-)","World","Losses","Meat","2020","1000 t","1703"
"Food Balances (2010-)","World","Processing","Meat","2020","1000 t","1026"
"Food Balances (2010-)","World","Other uses (non-food)","Meat","2020","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Meat","2020","1000 t","5"
"Food Balances (2010-)","World","Residuals","Meat","2020","1000 t","-456"
"Food Balances (2010-)","World","Food","Meat","2020","1000 t","331011"
