Domain,Area,Element,Item,Year,Value
"Land Use","World","Area","Planted Forest","2004","240091.902"
"Land Use","World","Area","Planted Forest","2005","245221.505"
"Land Use","World","Area","Planted Forest","2006","250351.108"
"Land Use","World","Area","Planted Forest","2007","255480.711"
"Land Use","World","Area","Planted Forest","2008","260610.314"
"Land Use","World","Area","Planted Forest","2009","265739.917"
"Land Use","World","Area","Planted Forest","2010","270869.52"
"Land Use","World","Area","Planted Forest","2011","274638.714"
"Land Use","World","Area","Planted Forest","2012","278407.908"
"Land Use","World","Area","Planted Forest","2013","282177.102"
"Land Use","World","Area","Planted Forest","2014","285946.296"
"Land Use","World","Area","Planted Forest","2015","289715.49"
"Land Use","World","Area","Planted Forest","2016","292197.2"
"Land Use","World","Area","Planted Forest","2017","293879.8"
"Land Use","World","Area","Planted Forest","2018","296500.52"
"Land Use","World","Area","Planted Forest","2019","299003.93"
"Land Use","World","Area","Planted Forest","2020","301451.12"
"Land Use","World","Area","Planted Forest","2021","303963.6966"
"Land Use","World","Area","Planted Forest","2022","306432.8255"
